bpm,pace,time,temperature,gap,dist_quater,count_quater,puls_quater,weight_year
149,357,4305,20,2,372590,1160574,60,77.1
147,363,4403,21,4,372480,1172636,60,77.1
149,366,4468,24,3,372320,1184919,60,77.1
153,374,5205,29,2,381430,1189566,60,77.2
151,356,6564,22,3,363030,1181979,60,77.2
152,352,4318,23,2,363330,1174499,60,77.2
156,366,7790,30,2,363050,1177586,60,77.3
150,361,5635,22,2,358950,1171106,60,77.3
150,371,4484,31,4,346880,1154842,60,77.3
150,363,4385,24,3,346830,1169463,60,77.3
151,369,5547,24,2,343840,1172885,60,77.3
151,375,4568,31,3,343870,1178666,60,77.4
151,376,3023,35,2,335850,1184117,60,77.4
159,385,6185,39,2,331830,1183908,60,77.4
155,381,4591,35,7,331810,1184167,60,77.4
153,428,4708,29,9,360860,1188380,60,77.4
153,367,4436,26,3,370970,1199133,60,77.4
152,367,5898,26,2,366930,1199641,60,77.5
146,369,4448,29,3,354900,1182219,60,77.5
150,371,5960,31,3,358420,1192018,60,77.6
149,372,4497,28,2,358410,1171163,60,77.6
155,387,6202,33,4,342400,1157641,60,77.6
148,366,4409,25,3,342410,1168751,60,77.6
149,361,4341,26,2,342420,1153208,60,77.7
153,373,5981,30,2,326410,1149192,60,77.7
157,373,4497,38,4,326420,1161124,60,77.7
154,382,6201,33,8,322320,1145464,60,77.7
154,383,6137,32,3,330200,1119786,60,77.8
153,373,4485,28,4,331190,1117217,60,77.8
153,379,4556,33,4,331110,1106670,60,77.8
154,382,8816,23,3,308090,1081168,60,77.8
155,371,4670,28,3,309420,1086152,60,77.9
150,384,8069,29,2,298430,1101833,60,77.9
155,390,4485,30,5,297200,1112775,60,77.9
151,378,4542,21,4,297130,1124641,60,77.9
150,387,4665,19,3,307750,1144679,60,78
151,386,4712,21,4,295560,1120930,60,78
152,385,4590,21,3,283560,1102824,60,78
152,389,4682,22,3,271550,1090500,60,78.1
153,396,6361,22,2,255520,1062342,60,78.1
151,398,4792,16,2,243510,1044652,60,78.2
149,394,4743,14,9,231510,1041146,60,78.2
154,402,8922,20,3,209350,969876,61,78.3
150,398,4790,15,4,203860,962151,61,78.3
155,397,8678,20,2,184280,940936,61,78.3
154,394,4745,17,7,172270,926507,61,78.3
152,389,4694,24,3,160240,927324,61,78.3
154,384,4627,21,4,148220,922877,61,78.4
153,392,4736,23,3,136170,894292,61,78.4
154,394,4783,15,3,124060,895700,61,78.5
153,400,4815,11,7,120090,881103,61,78.5
152,395,4708,19,3,108200,874087,61,78.6
152,398,5187,15,2,95200,850002,61,78.6
148,402,4806,9,8,83270,842841,61,78.6
151,400,5567,17,4,69380,821406,61,78.7
148,406,4069,17,2,59370,802376,62,78.7
147,408,4181,14,4,49130,775096,62,78.7
152,397,4753,12,2,48510,752109,62,78.7
151,401,4672,15,2,36870,730438,62,78.7
164,428,4719,15,29,25860,713014,61,78.7
150,415,2708,18,27,154130,838233,61,78.7
149,414,3331,-1,27,239710,928903,60,78.8
150,413,4685,13,8,294100,941150,60,78.8
148,400,4811,17,2,310070,967339,60,78.9
148,399,4522,4,3,298740,963732,61,78.9
155,375,3753,13,3,301970,985522,61,78.9
148,389,3765,9,3,307570,991695,61,79
147,398,4624,6,2,295970,993455,61,79
148,393,4718,9,2,300000,1000041,61,79.1
158,369,3699,18,3,299190,1001182,61,79.1
145,415,4780,14,2,287700,1006600,62,79.1
147,394,4399,15,2,276560,1013022,62,79.1
146,403,4790,10,3,264700,999437,62,79.1
146,399,4812,15,2,252660,983031,62,79.1
148,399,4675,22,3,240970,981845,62,79.1
148,400,4177,23,2,230550,980628,62,79.1
148,416,4871,18,2,226950,988051,62,79.1
149,417,4909,24,3,231190,997554,62,79.1
150,414,5026,19,3,234830,991987,62,79.1
150,423,4817,25,2,237640,997271,62,79.1
150,424,5322,23,7,225110,1009920,62,79.1
148,426,5089,18,1,228720,1017961,62,79
150,431,5092,15,22,216920,1011637,62,79
146,407,4749,16,3,277660,1138057,62,78.8
146,410,4757,20,3,266080,1154157,62,78.7
145,416,4745,31,2,270490,1164036,62,78.7
145,416,6455,19,2,254980,1158513,62,78.7
153,393,6131,31,2,239400,1143951,62,78.7
154,403,6462,30,4,223400,1139614,62,78.6
156,401,4812,33,6,227200,1137768,62,78.6
155,384,5086,27,3,245610,1160758,62,78.6
154,396,6052,25,5,230360,1153455,62,78.5
157,402,6439,28,3,214360,1137089,61,78.5
153,416,3831,37,16,220830,1157024,61,78.5
149,391,3168,31,2,259490,1152292,61,78.3
155,385,6174,26,2,243490,1133177,61,78.3
150,389,6144,26,4,227730,1125975,61,78.3
162,401,5684,31,9,229360,1123101,61,78.2
158,406,6329,32,3,228810,1090564,61,78.2
154,394,6308,25,5,227810,1095948,61,78.2
152,396,6249,26,6,212070,1063858,61,78.2
157,399,7453,30,2,193410,1042574,61,78.3
148,402,4640,22,7,181870,1018797,61,78.3
153,388,4052,26,5,202000,1007112,61,78.4
152,407,6445,19,11,201430,963436,61,78.4
152,395,6242,18,3,200940,976863,61,78.5
156,395,6188,22,4,201040,995049,61,78.5
156,406,6513,20,9,185030,969368,61,78.5
152,408,6395,18,3,169370,941433,61,78.6
157,419,6591,26,9,153670,899857,62,78.6
153,408,6146,17,2,169598,920111,62,78.8
146,445,7131,19,11,153588,899453,62,78.8
148,428,6778,11,6,168168,872719,62,78.9
145,461,6926,29,5,153168,854708,62,78.9
143,463,6952,13,16,138168,847747,62,79
142,466,7258,11,5,160568,913803,62,79.1
141,469,7050,18,4,145568,892605,63,79.1
144,463,7063,19,9,145348,908046,63,79.2
147,460,7049,10,7,130058,875903,63,79.3
145,474,7471,9,17,114328,827397,63,79.2
145,459,6990,12,5,114100,817260,63,79.3
139,483,7610,9,10,113370,802657,63,79.4
148,456,7012,7,4,159380,843939,63,79.4
144,488,7331,13,15,144360,835109,63,79.4
142,459,5254,1,8,191970,912931,63,79.4
141,488,5450,13,5,219710,925296,63,79.5
141,540,8334,10,10,228423,922965,62,79.5
143,511,7683,5,31,256824,974896,62,79.6
139,495,7431,14,4,338713,1118052,61,79.6
140,478,7181,13,4,336698,1141123,61,79.7
139,484,7272,14,2,336619,1148583,61,79.7
140,466,6994,16,4,337823,1153950,60,79.7
140,476,7175,16,3,345999,1181615,60,79.8
141,470,7682,21,5,329679,1157149,60,79.8
140,468,7447,15,3,313799,1149439,60,79.8
143,441,5812,19,4,300639,1124033,60,79.9
140,489,7350,22,3,285639,1086534,60,79.9
140,492,7393,24,6,270639,1044803,60,79.9
143,464,4775,27,2,260359,1084452,60,80
140,495,7437,22,3,245349,1069358,60,80
141,477,6495,28,2,253013,1078947,60,80.1
139,479,6069,26,2,249870,1066775,60,80.1
139,503,5768,28,3,259698,1071872,60,80.2
138,478,4797,27,3,258081,1077301,60,80.2
139,484,5000,19,3,269017,1055282,61,80.3
140,515,5955,27,2,268301,1056579,61,80.4
139,527,6068,23,4,268801,1053645,61,80.4
146,439,5889,26,2,266871,1040024,61,80.4
149,437,6716,31,4,272778,1028900,61,80.5
143,474,5390,33,3,276426,1019970,61,80.5
163,427,9372,33,6,254525,1004240,61,80.6
149,423,3670,23,3,277502,1010835,61,80.6
147,452,8168,21,10,274465,997064,61,80.6
159,392,3218,36,2,290468,1056764,61,80.7
147,460,5983,34,6,298737,1052654,61,80.8
151,422,6303,30,2,313155,1043244,62,80.8
142,469,7607,23,2,296951,1032143,62,80.9
145,468,5608,25,1,299995,1031634,62,81
143,451,3266,22,1,292757,1021169,62,81.1
141,449,1810,27,28,298765,1029396,62,81.1
157,369,7861,28,2,349438,1059194,63,81.2
143,492,4681,29,2,339931,1055426,63,81.3
160,355,7564,25,3,339915,1053287,63,81.3
144,446,3756,31,30,346519,1060757,63,81.3
160,349,7438,26,4,325265,1052276,63,81.4
145,455,4945,27,3,314421,1037388,63,81.4
166,347,4176,31,2,321865,1049927,63,81.4
166,350,4015,29,4,310407,1038456,63,81.5
160,351,7472,27,3,304160,1047409,63,81.5
168,349,5245,28,5,289155,1033329,64,81.5
169,349,5949,28,3,295233,1045255,64,81.6
161,372,5444,27,4,280603,1032263,64,81.6
168,354,5314,26,6,265593,1043520,64,81.6
161,410,5006,21,4,282944,1029901,64,81.6
166,357,4288,20,3,270943,1000977,64,81.6
165,344,7323,15,4,264760,1010084,64,81.6
170,339,4870,18,2,250430,1015816,64,81.6
169,339,5091,17,3,235421,1003164,64,81.6
173,350,5257,21,3,220414,983810,64,81.6
168,344,3457,25,12,210381,972722,64,81.6
164,362,3857,16,2,211370,951408,64,81.6
175,341,3420,18,2,201364,928094,64,81.6
173,371,7425,19,9,191950,930340,64,81.6
173,356,3572,10,3,181942,944869,65,81.5
171,365,7773,15,9,160682,943568,64,81.5
170,370,7888,10,2,150956,941436,65,81.5
170,373,5605,15,8,146321,937043,65,81.5
170,371,7235,17,7,126864,937120,65,81.5
165,374,5618,17,5,121858,927137,65,81.4
172,383,5261,16,3,108138,902875,65,81.4
172,376,3529,16,12,98774,897076,65,81.3
169,381,5786,10,2,99388,859555,65,81.2
172,401,5772,14,5,85000,853017,65,81.2
173,401,6048,16,21,69929,821951,65,81.2
177,393,4580,3,7,72080,759713,65,81.2
171,383,4065,3,14,76351,760533,65,81.1
168,387,4473,14,5,86392,782754,65,81
173,414,4308,15,16,88285,767634,65,80.9
175,381,3818,-2,14,78285,746259,65,80.9
172,387,3880,4,6,77985,769367,64,80.8
169,399,2305,13,8,77955,785719,64,80.8
174,387,3114,11,13,69925,806492,64,80.8
169,414,2389,18,8,64165,826710,64,80.8
176,432,2103,26,5,59305,850854,64,80.8
171,382,3836,22,5,49295,823870,64,80.9
170,372,3541,24,3,39795,785539,64,80.9
163,389,2345,24,5,33785,783485,64,80.9
158,378,2297,20,3,27715,762688,64,80.9
164,331,2362,18,3,20540,745691,64,80.8
168,402,2054,24,27,24300,754419,64,80.8
163,423,3263,26,4,25090,797025,64,80.8
138,574,1161,30,5,23080,785018,64,80.9
160,466,2677,28,54,27980,791537,64,81.2
154,464,4112,31,9,53240,729889,63,79.9
160,407,3464,25,26,44750,711829,63,79.5
158,401,4270,25,18,34120,656378,62,79.3
171,415,8948,16,10,12610,607195,63,79.1
165,407,5139,10,207,0,583356,63,78.9
159,429,4309,13,68,58520,742882,61,79.2
164,397,1378,24,5,106380,981390,61,79.5
167,362,5451,26,3,91330,942172,61,79.6
159,384,7692,26,14,71320,913431,61,79.7
159,401,8041,31,3,54620,927750,61,79.9
170,356,3561,32,2,44620,916082,61,79.9
149,426,2812,29,2,38030,899557,61,80
159,391,5871,26,1,23030,887446,61,80.1
151,383,1496,24,3,19130,876300,61,80.1
147,412,2408,24,2,13300,867245,61,80.1
155,381,3815,22,74,3300,855316,61,80.2
162,392,1004,18,172,0,548503,60,80.2
161,353,3542,11,3,172250,808970,63,80.2
159,342,1857,14,10,186840,809728,63,80.2
162,358,2157,17,23,230860,823988,63,80.1
163,375,15819,12,4,363300,980696,62,80
163,349,3494,16,2,371480,1005754,62,80
164,371,8390,16,7,357120,991079,62,80
169,348,5231,24,7,351430,1017362,62,79.8
162,354,5149,30,8,344010,996863,62,79.5
158,349,5398,25,3,336970,988259,62,79.3
155,349,3496,21,18,326970,989991,62,79.3
169,337,7104,19,3,314440,912007,62,79.1
155,399,3998,23,3,304440,946844,62,79.1
159,367,7350,25,4,284440,931157,62,79.1
166,333,3212,19,3,274440,948878,62,79
161,378,11346,23,2,244440,915284,62,79.1
156,350,3512,19,4,239220,911241,62,79.1
165,383,7681,19,1,219220,901350,62,79
152,380,3840,25,3,209140,888595,62,79
154,381,3625,22,1,203260,893311,62,79
162,382,7666,20,2,183250,872621,62,79
149,381,3624,30,1,173750,859257,62,78.9
158,372,5589,28,3,158740,841848,62,78.9
152,399,3995,28,3,148740,823326,62,78.9
153,389,4653,25,2,136800,807303,62,78.8
154,383,3900,23,1,126630,787937,62,78.8
158,381,5888,20,3,111190,772457,62,78.8
161,392,3930,26,1,105780,752097,62,78.7
159,395,5938,28,2,90770,732619,62,78.7
156,391,3139,24,1,82750,716974,62,78.6
158,391,4014,23,3,72500,704455,62,78.6
159,418,2930,30,1,64340,684226,62,78.5
165,380,3815,29,2,54320,674955,62,78.5
164,390,3203,29,1,46120,667148,62,78.5
164,365,3409,23,11,36800,654634,62,78.4
164,400,2845,17,4,29700,650379,61,78.4
159,389,3106,14,15,21740,652550,61,78.3
160,396,3465,13,27,13020,711696,61,78.3
154,423,2035,7,7,8220,779501,61,78.3
149,437,1587,7,14,4600,771083,61,78.3
134,466,2149,17,196,0,748218,61,78.2
