date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,-3.5,-4.8,-1.8,0,24,,,,,
2019-01-02 00:00:00,-2.7,-3,-1.7,6,24,,,,,
2019-01-03 00:00:00,-2.4,-3.1,-1.4,4.2,28,,,,,
2019-01-04 00:00:00,-4.2,-5.1,-3.1,5.7,38,,,,,
2019-01-05 00:00:00,-5.6,-6.5,-4.2,0.6,38,,,,,
2019-01-06 00:00:00,-8.2,-10.1,-6.5,0.6,38,,,,,
2019-01-07 00:00:00,-10.8,-12.9,-9.9,0.4,38,,,,,
2019-01-08 00:00:00,-8.6,-10.6,-7.4,0.8,37,,,,,
2019-01-09 00:00:00,-10.5,-13.1,-6.9,0,36,,,,,
2019-01-10 00:00:00,-7.8,-14,-5.9,0.3,35,,,,,
2019-01-11 00:00:00,-9.2,-10.8,-6.8,0.4,34,,,,,
2019-01-12 00:00:00,-9.3,-10.9,-8.9,2.6,33,,,,,
2019-01-13 00:00:00,-5.1,-9.9,-2.6,1.1,35,,,,,
2019-01-14 00:00:00,-2.1,-2.9,-1.2,3,36,,,,,
2019-01-15 00:00:00,-1.8,-3,0.3,2.4,37,,,,,
2019-01-16 00:00:00,-5.9,-8.2,-3,0,34,,,,,
2019-01-17 00:00:00,-3.3,-6.2,-1.9,4.3,33,,,,,
2019-01-18 00:00:00,1.7,-1.9,2.8,3.5,35,,,,,
2019-01-19 00:00:00,-5.6,-6.8,1.6,2,33,,,,,
2019-01-20 00:00:00,-4.2,-8.8,-3,0.5,33,,,,,
2019-01-21 00:00:00,-7.9,-10.9,-3.9,0.9,34,,,,,
2019-01-22 00:00:00,-14.6,-15.7,-10.9,0,34,,,,,
2019-01-23 00:00:00,-14.3,-19.8,-10.9,0,32,,,,,
2019-01-24 00:00:00,-13,-18,-10.1,0,32,,,,,
2019-01-25 00:00:00,-13.1,-16.8,-10.3,0.2,31,,,,,
2019-01-26 00:00:00,-10.8,-14,-9.6,10.3,31,,,,,
2019-01-27 00:00:00,-8.3,-9.6,-7.4,9.9,44,,,,,
2019-01-28 00:00:00,-8.2,-13.3,-6.6,0.7,49,,,,,
2019-01-29 00:00:00,-3.4,-6.6,-1.5,0.1,48,,,,,
2019-01-30 00:00:00,-2.7,-4.1,-1.5,1.6,48,,,,,
2019-01-31 00:00:00,0.3,-2.5,1.7,5.2,45,,,,,
2019-02-01 00:00:00,-2.8,-4,0.1,0,41,,,,,
2019-02-02 00:00:00,-3.9,-4.5,-3.2,1.2,41,,,,,
2019-02-03 00:00:00,-1.3,-4,1.2,1.1,42,,,,,
2019-02-04 00:00:00,2.2,1.1,2.8,0,40,,,,,
2019-02-05 00:00:00,-0.8,-5.2,2.8,0.7,35,,,,,
2019-02-06 00:00:00,-1.5,-2.4,-0.5,0,33,,,,,
2019-02-07 00:00:00,-2.1,-2.7,-1.1,0,33,,,,,
2019-02-08 00:00:00,-0.5,-3.1,2.1,0,33,,,,,
2019-02-09 00:00:00,-1.7,-2.9,0.7,0.2,31,,,,,
2019-02-10 00:00:00,-3.8,-5,-1.1,0,31,,,,,
2019-02-11 00:00:00,-1.6,-4.4,-0.2,0.2,31,,,,,
2019-02-12 00:00:00,0.5,-0.8,2,1.5,30,,,,,
2019-02-13 00:00:00,-1.6,-3.2,1.4,13.6,36,,,,,
2019-02-14 00:00:00,-3.2,-8.1,-0.2,0,38,,,,,
2019-02-15 00:00:00,1.3,-1.8,3,0,37,,,,,
2019-02-16 00:00:00,2.1,1.2,4.2,0,35,,,,,
2019-02-17 00:00:00,1.8,-0.2,5.3,0.1,33,,,,,
2019-02-18 00:00:00,-2.7,-4.2,0.3,0,30,,,,,
2019-02-19 00:00:00,-2.6,-10.3,2.5,0,29,,,,,
2019-02-20 00:00:00,1.3,-1.6,3.5,0.3,29,,,,,
2019-02-21 00:00:00,-3.1,-7,2.3,4,30,,,,,
2019-02-22 00:00:00,-8.5,-9.9,-7,1.8,29,,,,,
2019-02-23 00:00:00,-7.1,-11.6,-3.9,0.8,27,,,,,
2019-02-24 00:00:00,-1.6,-6.1,0.8,2.4,30,,,,,
2019-02-25 00:00:00,1.4,0.3,3,2.3,30,,,,,
2019-02-26 00:00:00,1.1,0.7,2.1,2.8,28,,,,,
2019-02-27 00:00:00,-2.6,-5.2,0.8,0,26,,,,,
2019-02-28 00:00:00,0.7,-2.1,3.5,0.5,26,,,,,
2019-03-01 00:00:00,-1.2,-4.5,1.9,2.9,26,,,,,
2019-03-02 00:00:00,-7.3,-12.1,-3.3,0.7,29,,,,,
2019-03-03 00:00:00,-4.8,-8.1,-1.1,3.8,31,,,,,
2019-03-04 00:00:00,-2.7,-10.2,0,1.9,31,,,,,
2019-03-05 00:00:00,3.2,0,4.5,6.7,29,,,,,
2019-03-06 00:00:00,-3.5,-6.4,3.7,2.1,26,,,,,
2019-03-07 00:00:00,-4.4,-12,0.3,0,25,,,,,
2019-03-08 00:00:00,1.1,-2.5,3.1,1.1,25,,,,,
2019-03-09 00:00:00,3.9,2.1,6.5,0.3,24,,,,,
2019-03-10 00:00:00,2.5,-1,5.7,1.2,22,,,,,
2019-03-11 00:00:00,1.6,0.6,3.8,2.4,21,,,,,
2019-03-12 00:00:00,-1.3,-3.6,1.8,0.7,21,,,,,
2019-03-13 00:00:00,-4.8,-6.3,-0.8,1.5,23,,,,,
2019-03-14 00:00:00,-2.3,-10.6,3.3,0,23,,,,,
2019-03-15 00:00:00,1,-1.7,5,0.5,23,,,,,
2019-03-16 00:00:00,-0.8,-2.2,0.5,0.2,21,,,,,
2019-03-17 00:00:00,1.1,-0.5,2.3,0,21,,,,,
2019-03-18 00:00:00,3.7,0.6,7.2,0,20,,,,,
2019-03-19 00:00:00,3.5,2.1,4.5,2,16,,,,,
2019-03-20 00:00:00,3.3,1.9,6.4,0,13,,,,,
2019-03-21 00:00:00,1.4,-1.4,3.6,0,12,,,,,
2019-03-22 00:00:00,1.5,0.4,2.5,6.3,10,,,,,
2019-03-23 00:00:00,1.9,0.2,5.2,0.6,10,,,,,
2019-03-24 00:00:00,0.7,-2.2,2.3,4.3,9,,,,,
2019-03-25 00:00:00,2.9,-1.2,7.3,0,8,,,,,
2019-03-26 00:00:00,3.1,-1.2,7.8,0,7,,,,,
2019-03-27 00:00:00,-0.1,-3.2,3.6,0.1,7,,,,,
2019-03-28 00:00:00,0.7,-1.6,3.4,0,6,,,,,
2019-03-29 00:00:00,1.7,-0.5,3.3,1.3,5,,,,,
2019-03-30 00:00:00,5.7,2.7,8.7,0,3,,,,,
2019-03-31 00:00:00,9.7,3.6,14.7,0,2,,,,,
2019-04-01 00:00:00,3.2,1.3,12.1,0.5,,,,,,
2019-04-02 00:00:00,2.4,-0.9,7.6,0,,,,,,
2019-04-03 00:00:00,4.1,-3.1,9.9,0,,,,,,
2019-04-04 00:00:00,4.4,-1.8,10.7,0,,,,,,
2019-04-05 00:00:00,4.1,-2.4,10,0,,,,,,
2019-04-06 00:00:00,3.9,2.5,9,0.4,,,,,,
2019-04-07 00:00:00,4.3,-2.1,9.7,0,,,,,,
2019-04-08 00:00:00,7.4,2.8,11.1,0.5,,,,,,
2019-04-09 00:00:00,12.1,8.3,18.3,0.6,,,,,,
2019-04-10 00:00:00,7.3,6.2,13.7,0.4,,,,,,
2019-04-11 00:00:00,,-0.8,11.4,0,,,,,,
2019-04-12 00:00:00,3.5,2.4,7.6,0,,,,,,
2019-04-13 00:00:00,,0.7,7.4,0,,,,,,
2019-04-14 00:00:00,,0.9,5.6,3.2,,,,,,
2019-04-15 00:00:00,,0.6,13,2.9,,,,,,
2019-04-16 00:00:00,,-0.4,13.5,0,,,,,,
2019-04-17 00:00:00,,2.4,11.6,0,,,,,,
2019-04-18 00:00:00,,0.5,11.1,0,,,,,,
2019-04-19 00:00:00,,0.8,13.1,0,,,,,,
2019-04-20 00:00:00,,1.5,13.1,0,,,,,,
2019-04-21 00:00:00,,6.6,18,0,,,,,,
2019-04-22 00:00:00,,3.1,18.8,0,,,,,,
2019-04-23 00:00:00,,6.2,18.3,0,,,,,,
2019-04-24 00:00:00,,7,22.7,0,,,,,,
2019-04-25 00:00:00,,8.2,24,0,,,,,,
2019-04-26 00:00:00,,10.1,23.2,0,,,,,,
2019-04-27 00:00:00,,10.8,24.5,0,,,,,,
2019-04-28 00:00:00,,6,17,0.1,,,,,,
2019-04-29 00:00:00,,0.2,10.9,0,,,,,,
2019-04-30 00:00:00,,1.4,13.6,0,,,,,,
2019-05-01 00:00:00,,0.7,16.1,0,,,,,,
2019-05-02 00:00:00,,5.6,12.7,4.8,,,,,,
2019-05-03 00:00:00,,8.3,16.3,1,,,,,,
2019-05-04 00:00:00,,5.5,15.4,0.4,,,,,,
2019-05-05 00:00:00,,4,22.5,2.7,,,,,,
2019-05-06 00:00:00,,8.7,24.6,0,,,,,,
2019-05-07 00:00:00,,8.1,26,0,,,,,,
2019-05-08 00:00:00,,12,23.6,13.3,,,,,,
2019-05-09 00:00:00,,10.5,23.5,10.4,,,,,,
2019-05-10 00:00:00,,14.5,26.1,3.9,,,,,,
2019-05-11 00:00:00,,15.3,21.8,0.5,,,,,,
2019-05-12 00:00:00,,9.6,22.7,0,,,,,,
2019-05-13 00:00:00,,14,20.9,1.3,,,,,,
2019-05-14 00:00:00,,13.6,19.5,0,,,,,,
2019-05-15 00:00:00,,13.2,22.5,9.1,,,,,,
2019-05-16 00:00:00,,9,18.4,6.2,,,,,,
2019-05-17 00:00:00,,5.9,20.3,0,,,,,,
2019-05-18 00:00:00,,8.1,20.9,0,,,,,,
2019-05-19 00:00:00,,9.5,21,0,,,,,,
2019-05-20 00:00:00,,6.6,22.5,0,,,,,,
2019-05-21 00:00:00,,8.7,25.5,0,,,,,,
2019-05-22 00:00:00,20.2,13.6,26.4,0,,,1.9,,1010.6,
2019-05-23 00:00:00,18.3,13.9,24.3,0.8,,,3.6,,1005.4,
2019-05-24 00:00:00,13.6,8.9,17.5,0,,,4.7,,1012.7,
2019-05-25 00:00:00,15.6,11.8,18.9,0.3,,,4.6,,1010.2,
2019-05-26 00:00:00,18.1,14.3,23.6,0,,,2.4,,1004.7,
2019-05-27 00:00:00,16.7,12.5,21.2,0,,,4.6,,1008.5,
2019-05-28 00:00:00,22,15.9,28.4,0,,,2.9,,1014.1,
2019-05-29 00:00:00,23,18.4,29.4,0,,,3.8,,1016,
2019-05-30 00:00:00,21.8,18.7,28.5,1.3,,,3.3,,1017.6,
2019-05-31 00:00:00,18.4,15.2,23.8,0.7,,,3,,1017.9,
2019-06-01 00:00:00,17.9,13.6,22.5,0,,,4.3,,1017.1,
2019-06-02 00:00:00,18.9,9.7,26,0,,,2.4,,1016.1,
2019-06-03 00:00:00,17.3,14,21.5,0,,,6,,1017.4,
2019-06-04 00:00:00,17.1,8.3,24.3,0,,,2.1,,1024.4,
2019-06-05 00:00:00,19.9,10.5,26.7,0,,,2,,1024.1,
2019-06-06 00:00:00,22.3,12.6,29.3,0,,,1.9,,1023.3,
2019-06-07 00:00:00,24,14.2,30.9,0,,,1.6,,1023.1,
2019-06-08 00:00:00,24.8,16.8,30.9,0,,,1.6,,1023.2,
2019-06-09 00:00:00,25.2,17.1,31.2,0,,,1.6,,1022.5,
2019-06-10 00:00:00,23.1,18.1,27.1,0,,,3.5,,1021.7,
2019-06-11 00:00:00,22.6,15.2,28,0,,,3,,1021.7,
2019-06-12 00:00:00,20,14.7,24.4,0,,,3.3,,1019.6,
2019-06-13 00:00:00,15.1,9.3,20.2,0,,,4.9,,1026.4,
2019-06-14 00:00:00,17.4,10.5,21.2,10.8,,,2.3,,1019,
2019-06-15 00:00:00,16.7,13.1,20.6,0,,,3.2,,1015.1,
2019-06-16 00:00:00,17.5,12.8,22.1,0.8,,,3.8,,1014.6,
2019-06-17 00:00:00,20.1,12,26.6,0,,,2.3,,1014.4,
2019-06-18 00:00:00,21.6,17.6,26.2,0.7,,,3.7,,1013.1,
2019-06-19 00:00:00,22.3,15.3,27.4,0,,,4,,1015.9,
2019-06-20 00:00:00,23.6,16.7,30,0,,,1.8,,1016.8,
2019-06-21 00:00:00,24.5,17,30.2,0,,,1.8,,1016.8,
2019-06-22 00:00:00,25.1,20,30.7,0,,,3,,1015.4,
2019-06-23 00:00:00,21.6,18.9,26.1,0,,,6,,1019.7,
2019-06-24 00:00:00,20.6,16.4,24.8,0,,,6.3,,1022.4,
2019-06-25 00:00:00,18.8,12.7,22.6,0,,,5.9,,1026.8,
2019-06-26 00:00:00,17.3,13.6,22,3.5,,,1.9,,1022.4,
2019-06-27 00:00:00,15,12.3,15.7,17,,,3.9,,1006.5,
2019-06-28 00:00:00,12.8,10.7,14.8,25.1,,,6.5,,991.8,
2019-06-29 00:00:00,10.9,9,12,4.7,,,8.4,,999.1,
2019-06-30 00:00:00,15.1,9.2,20.5,1.6,,,3.4,,1006.9,
2019-07-01 00:00:00,19.7,10.8,25.6,,,,2.2,,1005.1,
2019-07-02 00:00:00,19.3,16.6,22.1,,,,4.4,,1002.5,
2019-07-03 00:00:00,16.1,13.1,18.5,,,,4,,1004.1,
2019-07-04 00:00:00,13.9,10.8,17.1,,,,6.5,,1007.3,
2019-07-05 00:00:00,15.2,10.8,19.3,,,,3.7,,1007.5,
2019-07-06 00:00:00,14.6,12.2,18.5,,,,3.1,,1000.6,
2019-07-07 00:00:00,14.5,10.6,19.1,,,,3,,1001.6,
2019-07-08 00:00:00,16.7,11.9,21.8,,,,1.9,,1002,
2019-07-09 00:00:00,16.7,11.5,21.8,,,,2.7,,1000.8,
2019-07-10 00:00:00,15.7,13,18.9,,,,2.8,,998.6,
2019-07-11 00:00:00,14.4,12.7,17.1,,,,3.4,,1001.7,
2019-07-12 00:00:00,12.6,11,15.4,,,,3,,1007.2,
2019-07-13 00:00:00,14.3,10.9,18.3,,,,2.2,,1009.2,
2019-07-14 00:00:00,15.4,10.6,19.9,,,,1.3,,1011.2,
2019-07-15 00:00:00,16.1,11.6,19.8,,,,1.3,,1011.4,
2019-07-16 00:00:00,16.2,10.9,21,,,,2.2,,1010.7,
2019-07-17 00:00:00,16.8,14.7,19.9,,,,2,,1007.6,
2019-07-18 00:00:00,17.3,14.6,21.5,,,,2.2,,1004.5,
2019-07-19 00:00:00,15.6,12,20.6,8.9,,,2.5,,1005.6,
2019-07-20 00:00:00,16.2,13.3,21.7,,,,3.8,,1010.5,
2019-07-21 00:00:00,18.4,15.2,22.8,,,,3.9,,1015.7,
2019-07-22 00:00:00,17.9,12.8,25.6,,,,1.9,,1016,
2019-07-23 00:00:00,18,15.5,20.7,,,,1.7,,1011.8,
2019-07-24 00:00:00,18.1,15.8,20.8,,,,2.1,,1011.3,
2019-07-25 00:00:00,18.1,15.3,21.4,,,,2.4,,1014.2,
2019-07-26 00:00:00,22.4,17.3,27.7,,,,4,,1016.7,
2019-07-27 00:00:00,23.4,17.6,28.5,,,,5.3,,1013.6,
2019-07-28 00:00:00,22.1,17.9,25,,,,7.1,,1006.9,
2019-07-29 00:00:00,14.1,10.7,16.4,,,,7.1,,1007.8,
2019-07-30 00:00:00,12.5,9.7,16.1,,,,5.6,,1005.6,
2019-07-31 00:00:00,11.2,8.9,14.4,,,,6.8,,1001.4,
2019-08-01 00:00:00,12.9,10.2,15,,,,5.2,,1008.3,
2019-08-02 00:00:00,13.2,11.8,15.5,,,,3.8,,1006.6,
2019-08-03 00:00:00,13.6,11,17.1,,,,3.5,,1004.4,
2019-08-04 00:00:00,11.2,8.9,13,,,,5.1,,1004.6,
2019-08-05 00:00:00,10.5,7.3,14,,,,3.7,,1002.8,
2019-08-06 00:00:00,13,9.5,18.6,,,,4.9,,1005.1,
2019-08-07 00:00:00,16.4,11.1,21,,,,2.4,,1010.1,
2019-08-08 00:00:00,19.4,14.1,25.5,,,,2.3,,1007.3,
2019-08-09 00:00:00,16.4,14.3,19,,,,6.1,,997.5,
2019-08-10 00:00:00,13.9,12.2,16.9,,,,8.1,,1006.3,
2019-08-11 00:00:00,14.3,10.2,19.1,,,,5.7,,1014.8,
2019-08-12 00:00:00,15.3,8.3,21.3,,,,1.7,,1018.3,
2019-08-13 00:00:00,18.5,11.3,23.4,,,,2.4,,1015.5,
2019-08-14 00:00:00,19.8,17.4,22.5,,,,3.8,,1011.8,
2019-08-15 00:00:00,19.2,15.3,22.9,,,,4.7,,1010.6,
2019-08-16 00:00:00,15.7,13.5,18.7,,,,3.8,,1014.9,
2019-08-17 00:00:00,15.6,13.7,17.7,,,,5.7,,1013.7,
2019-08-18 00:00:00,17.7,15,22.2,,,,3.7,,1009.1,
2019-08-19 00:00:00,17.9,15.5,21.2,,,,1.9,,1016.3,
2019-08-20 00:00:00,20.7,13.4,27.5,,,,1.3,,1021.7,
2019-08-21 00:00:00,20.9,16.6,25.1,,,,2.3,,1024.3,
2019-08-22 00:00:00,19.9,14.5,25.3,,,,4.3,,1022.2,
2019-08-23 00:00:00,16.9,11.4,22.2,,,,3,,1028.4,
2019-08-24 00:00:00,17.6,10.7,23.4,,,,2.8,,1024.8,
2019-08-25 00:00:00,16,12.6,20.4,,,,4.9,,1026.6,
2019-08-26 00:00:00,16,9.1,22.2,,,,1.9,,1027.8,
2019-08-27 00:00:00,17.8,14.8,20.7,,,,7.1,,1020.5,
2019-08-28 00:00:00,13.7,10.4,17.4,,,,6.7,,1027,
2019-08-29 00:00:00,15,7.8,22.2,,,,2.6,,1027.3,
2019-08-30 00:00:00,17.2,10.2,24.8,,,,1.2,,1022.3,
2019-08-31 00:00:00,17.2,11.9,23.8,,,,1.3,,1021.2,
2019-09-01 00:00:00,17.9,12.1,24.4,,,,1.7,,1018.8,
2019-09-02 00:00:00,18.2,13.4,22.8,,,,2,,1016.4,
2019-09-03 00:00:00,18.2,12.2,23.4,,,,2,,1016.8,
2019-09-04 00:00:00,18.4,14.3,23.1,,,,3.1,,1014.7,
2019-09-05 00:00:00,15.9,14.4,17.8,,,,1.8,,1017.2,
2019-09-06 00:00:00,17.1,12.1,23.3,,,,1.5,,1018.2,
2019-09-07 00:00:00,17.1,11.9,22,,,,3.3,,1023.6,
2019-09-08 00:00:00,16.7,11.8,22.2,,,,2.1,,1028.4,
2019-09-09 00:00:00,17,11.2,23.1,,,,1.2,,1028.9,
2019-09-10 00:00:00,17.6,10.6,25.1,,,,1.5,,1028.4,
2019-09-11 00:00:00,19.2,12.1,26.6,,,,1.5,,1029.2,
2019-09-12 00:00:00,18.8,10.8,25.8,,,,1.8,,1026.8,
2019-09-13 00:00:00,18.3,11.8,22.6,,,,2.5,,1019.2,
2019-09-14 00:00:00,14.1,9.8,17.6,,,,6.3,,1013.2,
2019-09-15 00:00:00,10.2,7.4,13.7,,,,4.3,,1013.8,
2019-09-16 00:00:00,11.8,9,14.6,,,,5.5,,998.2,
2019-09-17 00:00:00,10.1,8.3,11.4,,,,4.9,,997.3,
2019-09-18 00:00:00,9.2,6.5,13.4,,,,2.2,,998.5,
2019-09-19 00:00:00,8.2,5.4,11.4,,,,4.3,,1007.6,
2019-09-20 00:00:00,6.2,3.6,9.7,,,,1.1,,1013.6,
2019-09-21 00:00:00,6,2.8,8.8,,,,2.8,,1013.3,
2019-09-22 00:00:00,5.5,3.7,6.3,,,,7.2,,1002.3,
2019-09-23 00:00:00,5,3.4,7.6,,,,7.4,,1013.9,
2019-09-24 00:00:00,4.4,1.3,6.9,,,,2.7,,1018.1,
2019-09-25 00:00:00,4.7,2.4,8.2,,,,1.2,,1019.2,
2019-09-26 00:00:00,6.8,3.4,11.7,,,,0.9,,1017.6,
2019-09-27 00:00:00,6.5,1.4,10.5,,,,2.1,,1016.4,
2019-09-28 00:00:00,8.4,5.3,11.8,,,,1.7,,1018.6,
2019-09-29 00:00:00,9.1,7.3,10.7,,,,3.8,,1011.1,
2019-09-30 00:00:00,11.7,9.3,14,,,,3.4,,1001.6,
2019-10-01 00:00:00,13.1,8.2,16,,,,4.6,,995.3,
2019-10-02 00:00:00,11.4,6.2,15.5,,,,3.8,,1005.5,
2019-10-03 00:00:00,15.7,12,20.9,,,,4,,1007.3,
2019-10-04 00:00:00,11.3,6.2,15.4,,,,3.8,,1005.6,
2019-10-05 00:00:00,7.1,3.9,10.3,,,,2.8,,1011.6,
2019-10-06 00:00:00,2.4,0.7,5.4,,,,10,,1010.4,
2019-10-07 00:00:00,2.3,1.1,3.7,,,,6.8,,1009,
2019-10-08 00:00:00,2.6,0.5,5.2,,,,3.9,,1014,
2019-10-09 00:00:00,4.4,3,6,,,,3.9,,1011.5,
2019-10-10 00:00:00,7.2,5.4,8.8,,,,2.7,,1008.7,
2019-10-11 00:00:00,8.8,7.6,10.4,,,,3,,1008.8,
2019-10-12 00:00:00,9.9,7.8,12,,,,5.4,,1008.9,
2019-10-13 00:00:00,10,7.5,12,,,,5.6,,1008.7,
2019-10-14 00:00:00,10.8,7.3,17.2,,,,4.1,,1013.9,
2019-10-15 00:00:00,9.7,4.1,16.6,,,,7,,1017.8,
2019-10-16 00:00:00,5.2,0.3,8.2,,,,4.3,,1026.3,
2019-10-17 00:00:00,12.7,8,17.5,,,,4.1,,1015.3,
2019-10-18 00:00:00,12.7,10.9,14.9,,,,2.9,,1015.9,
2019-10-19 00:00:00,12.5,9.1,15.7,,,,1.6,,1020.4,
2019-10-20 00:00:00,13.9,12,16.7,,,,1.9,,1020.5,
2019-10-21 00:00:00,13.6,9.8,17.3,,,,3.9,,1018.3,
2019-10-22 00:00:00,9.1,7.9,10.8,,,,3.3,,1022.1,
2019-10-23 00:00:00,11.9,10.1,13.4,,,,4.9,,1016.4,
2019-10-24 00:00:00,10.1,9,11.3,,,,1.8,,1020.8,
2019-10-25 00:00:00,9.4,6.8,12.6,,,,1.7,,1021.9,
2019-10-26 00:00:00,10.9,8.3,13.4,,,,5.1,,1014.3,
2019-10-27 00:00:00,12.8,11.3,14,,,,7,,1003.2,
2019-10-28 00:00:00,6.9,2.6,12.6,,,,7.3,,1005.6,
2019-10-29 00:00:00,3.4,1.6,5.6,,,,3.4,,1011.8,
2019-10-30 00:00:00,-0.2,-2.1,3.1,,,,8.5,,1012.4,
2019-10-31 00:00:00,-2.9,-3.7,-2.2,,,,7,,1022.7,
2019-11-01 00:00:00,-0.8,-2.7,0.6,,,,5.2,,1016.9,
2019-11-02 00:00:00,1.9,-0.1,3.9,0.5,1,,3.7,,1017.8,
2019-11-03 00:00:00,2.8,1.7,5.3,3,,,6.9,,1011.2,
